District,Year,soil_moisture,clay_0-30cm_mean_(%),sand_0-30cm_mean_(%),silt_0-30cm_mean_(%),soc_0-30cm_mean_(g/kg),bdod_0-30cm_mean_(g/cm³),cec_0-30cm_mean_(meq/100g),phh2o_0-30cm_mean_(pH),nitrogen_0-30cm_mean_(mg/kg),All Sky Longwave Down (W/m²),Cloud Coverage (%),Surface Pressure (kPa),Relative Humidity (%),Average Temperature (°C),Max Temperature (°C),Min Temperature (°C),Monthly Rainfall (mm),Area('000 acres),Yield(tonnes_per_acre),UREA,NP,MAP,SSP,SOP,MOP,AS,NPKs,25th_Percentile-(May),75th_Percentile-(May),IQR-(May),Kurtosis-(May),Max_NDVI-(May),Mean_NDVI-(May),Median_NDVI-(May),Skewness-(May),Std_NDVI-(May),Variance-(May)
jhelum,2001,0.229788171,25.41279174,37.12843044,37.45862102,8.916800462,1.523060939,17.82760547,7.169056461,112.1385719,28.77714286,36.74428571,96.93410713375,28.58428571,19.92571429,33.40285714,8.035714286,17.40714286,117.0,0.307692308,585.7999999999997,371.57777777777767,345.67483836253723,248.48128342245988,160.5658994907628,298.3955845116401,0.0,386.7708592645557,0.1515,0.1811,0.0296,5.5231,0.4782,0.1685,0.1644,1.4203,0.0262,0.0007
kasur,2001,0.185492463,24.64495377,36.25457295,39.10042908,9.428379014,1.528101478,15.48364319,7.610802111,89.32452179,29.17142857,35.69285714,98.75571429,25.63428571,22.32285714,35.99285714,9.954285714,9.371428571,429.0,1.226107226,585.8000000000001,371.5777777777777,0.0,283.2432908543565,315.3411676122855,127.003790750521,212.58660924930547,148.61192871711938,0.1597,0.2385,0.0787,2.1403,0.706,0.205,0.1892,1.2249,0.0621,0.0039
khanewal,2001,0.144602156,23.1228919,45.47436817,31.40295725,7.724291853,1.511466866,13.75895064,7.347015347,144.7483902,29.22285714,29.22857143,99.28142857,26.55571429,22.5,36.55285714,9.851428571,10.61285714,531.0,1.344632768,585.8000000000002,371.5777777777777,0.0,412.5711412832841,280.9068539587877,0.0,258.69513724844694,618.0627641589192,0.1407,0.1819,0.0412,6.3232,0.5487,0.1646,0.1588,1.5902,0.036,0.0013
khushab,2001,0.164928361,24.16960883,26.14041699,49.69026842,7.749656236,1.537564182,12.73418343,7.61938197,79.25069198,29.09714286,32.41428571,98.95571429,29.75714286,21.65,34.97857143,9.32,24.10428571,177.0,0.598870056,585.8,371.57777777777767,153.0166963299556,324.77253368391194,148.81679060183637,102.93218540430662,0.0,532.3745290708533,0.1659,0.2266,0.0607,1.5212,0.478,0.1952,0.193,-0.1449,0.0591,0.0035
lahore,2001,0.182269658,23.91523224,25.8205166,50.2644288,8.346927864,1.523060939,12.57633228,7.852002798,81.26379005,29.17142857,35.69285714,98.62142857,26.36428571,22.02142857,35.75571429,9.625714286,10.58714286,152.0,1.164473684,585.8000000000002,371.5777777777777,236.69755531796565,132.00563099383027,109.00852238921226,49.71768431934549,201.88829283700585,60.591506269107725,0.1658,0.2444,0.0785,1.1785,0.5132,0.2117,0.2007,1.0181,0.061,0.0037
layyah,2001,0.076681174,22.29196537,36.36847159,41.33956613,6.66423485,1.498386898,14.98093283,7.548995474,80.65577163,29.09142857,30.23571429,99.3,26.42857143,22.00571429,34.98571429,10.25285714,13.33,436.0,0.894495413,585.8,371.5777777777777,166.2656254633053,372.59389077445707,97.95793947138566,635.3321734381334,141.996389738764,441.4576352074073,0.0901,0.193,0.1029,0.2193,0.4632,0.1467,0.1566,-0.103,0.0719,0.0052
lodhran,2001,0.142433768,23.23360624,45.95257558,30.8139505,7.371388636,1.506242389,13.84318199,7.275304753,132.9219558,29.36714286,26.47857143,99.56142857,26.10285714,22.82428571,36.87,9.917142857,8.83,457.0,1.050328228,585.8000000000001,371.5777777777778,410.8217154111625,314.16190866552967,27.22166331093854,506.2941036340404,418.56498575681815,538.3985271297942,0.1374,0.1805,0.0431,6.549,0.5487,0.1636,0.1558,1.8367,0.0401,0.0016
mandi bahauddin,2001,0.207570381,26.10929799,28.96537172,44.92544321,9.670252495,1.518841192,14.35482774,7.602293621,87.04824721,28.77714286,36.74428571,98.34,27.79428571,21.53285714,35.19571429,10.06142857,18.38428571,285.0,1.028070175,585.8000000000001,371.5777777777778,228.9755043907403,248.48128342245988,132.36601427377693,220.19460788642573,323.45542331084295,388.16229388851815,0.2103,0.2903,0.08,0.9423,0.6253,0.2501,0.2502,0.0824,0.0627,0.0039
mianwali,2001,0.1566481,26.68831913,32.37048602,40.94132529,9.511163446,1.511840409,15.20595543,7.602074387,90.90204148,28.27857143,31.34428571,96.93410713375,30.54714286,19.98142857,32.89571429,7.625714286,18.98571429,358.0,0.606145251,585.8,371.5777777777779,261.3579487359222,42.498726743529176,156.68570118900382,33.67357956177412,164.22881567891665,353.91411584575826,0.1145,0.1904,0.076,4.7586,0.6296,0.1601,0.1498,1.4208,0.0762,0.0058
multan,2001,0.119439457,22.9283732,45.33794246,31.73357711,6.918145083,1.507161506,13.9218079,7.236992732,122.3688676,29.24714286,27.18285714,99.64857143,25.51714286,22.85142857,36.55857143,10.58571429,9.387142857,484.0,1.037190083,585.8000000000001,371.5777777777778,276.8356252808778,112.97321614472162,659.8737124030428,594.7250549853817,354.83430082452617,411.93,0.1405,0.1946,0.0541,3.2905,0.5487,0.1707,0.1648,0.9947,0.0517,0.0027
