District,Year,soil_moisture,clay_0-30cm_mean_(%),sand_0-30cm_mean_(%),silt_0-30cm_mean_(%),soc_0-30cm_mean_(g/kg),bdod_0-30cm_mean_(g/cm³),cec_0-30cm_mean_(meq/100g),phh2o_0-30cm_mean_(pH),nitrogen_0-30cm_mean_(mg/kg),All Sky Longwave Down (W/m²),Cloud Coverage (%),Surface Pressure (kPa),Relative Humidity (%),Average Temperature (°C),Max Temperature (°C),Min Temperature (°C),Monthly Rainfall (mm),Area('000 acres),Yield(tonnes_per_acre),UREA,NP,MAP,SSP,SOP,MOP,AS,NPKs,25th_Percentile-(May),75th_Percentile-(May),IQR-(May),Kurtosis-(May),Max_NDVI-(May),Mean_NDVI-(May),Median_NDVI-(May),Skewness-(May),Std_NDVI-(May),Variance-(May)
chiniot,2004,0.1973123,21.38071035,29.89557793,48.72370037,7.98566382,1.515365903,11.9200304,7.652336945,80.83532067,29.19857143,31.88428571,99.01571429,29.58428571,22.64428571,36.41571429,9.098571429,7.885714286,454.0,1.112055202,585.8000000000001,371.5777777777778,195.78116419688632,318.91489257608225,0.0,635.3321734381334,144.24039476359792,392.74666844711305,0.2026,0.2785,0.0759,1.4099,0.5751,0.2446,0.2393,0.7032,0.0605,0.0037
dera ghazi khan,2004,0.130351864,23.39515004,42.09708534,34.5078131,6.731983444,1.493035367,14.52150244,7.59410394,78.71948246,27.8207142775,27.72714286,98.28428571,21.84714286,23.54142857,37.48571429,11.13285714,2.702857143,409.0,0.941320293,585.8,371.5777777777778,259.80388576643264,87.66510351439126,98.92461302188096,171.0596038968937,112.51986754966885,406.46942389922174,0.1297,0.1979,0.0681,2.606,0.5488,0.1696,0.159,0.7795,0.0644,0.0041
faisalabad,2004,0.19427146,23.74880918,33.73281683,46.87053341,7.908887425,1.515365903,12.05106161,7.668717385,80.18262089,29.34571429,34.65142857,99.01571429,29.58428571,22.64428571,36.41571429,9.098571429,7.885714286,655.0,1.204580153,585.8000000000001,371.5777777777777,196.7865179743836,138.9207983801619,0.0,589.3066652371522,169.89333693256106,60.591506269107725,0.2111,0.2686,0.0575,0.8139,0.5168,0.242,0.239,0.5031,0.0454,0.0021
gujranwala,2004,0.23615503,27.76819004,29.90469572,42.32715599,9.39715933,1.523060939,15.08010092,7.728752551,87.61308896,29.03857143,38.52,98.72714286,34.01571429,22.16714286,35.85714286,8.655714286,14.15857143,552.0,1.172101449,585.8000000000002,371.5777777777777,284.37918257980186,248.48128342245988,341.532717744224,0.0,369.1623737280852,619.0709569731496,0.1787,0.255,0.0763,3.263,0.7036,0.2211,0.2134,1.0074,0.0604,0.0036
gujrat,2004,0.257255329,26.05328035,32.963105,40.98357489,10.38613988,1.517214506,15.7080344,7.287606163,111.744565,29.03857143,38.52,98.12142857,36.95285714,21.93142857,34.76428571,9.901428571,23.82428571,333.0,0.72972973,585.8000000000002,371.5777777777779,207.43209668824807,428.4967598230081,52.34644920439374,166.59836561945704,181.8885356361268,461.1964411152409,0.211,0.2716,0.0607,3.6474,0.6173,0.2467,0.2382,1.2281,0.0533,0.0028
hafizabad,2004,0.234715865,27.38310484,30.33962519,42.27734727,9.299787954,1.523060939,14.67897171,7.724490479,86.4714649,28.89142857,37.02428571,98.72714286,34.01571429,22.16714286,35.85714286,8.655714286,14.15857143,341.0,1.049853372,585.8,371.5777777777779,335.25711210168424,248.48128342245988,115.3130353408913,463.28369840543866,228.9528196646504,315.3691195336862,0.1752,0.2504,0.0752,3.5966,0.7036,0.2167,0.2092,0.9977,0.0589,0.0035
jhang,2004,0.175706211,22.7898802,38.69853023,38.51152223,7.684066378,1.521484137,13.99187519,7.453346006,89.22363342,29.19857143,31.88428571,99.15,29.23857143,22.59857143,36.31,9.192857143,6.224285714,850.125,1.077177508,585.8000000000002,371.5777777777777,402.485340133503,241.2512802005346,283.3455044594069,162.13946110362838,0.0,338.3771327393022,0.1855,0.2538,0.0683,2.2568,0.5514,0.2238,0.2166,0.995,0.0558,0.0031
jhelum,2004,0.272210018,25.41279174,37.12843044,37.45862102,8.916800462,1.523060939,17.82760547,7.169056461,112.1385719,28.89142857,37.02428571,96.93410713375,38.40428571,20.14714286,33.47142857,7.534285714,20.52571429,115.0,0.652173913,585.8000000000002,371.5777777777779,178.9472075523297,248.48128342245988,26.61850764851713,0.0,0.0,168.45186674977376,0.1719,0.2062,0.0343,5.6082,0.5359,0.1922,0.1865,1.6185,0.0315,0.001
kasur,2004,0.209935719,24.64495377,36.25457295,39.10042908,9.428379014,1.528101478,15.48364319,7.610802111,89.32452179,29.40857143,36.29571429,98.82,30.64,22.65285714,36.25857143,9.328571429,12.30857143,414.0,1.007246377,585.8000000000002,371.5777777777778,274.0862202199643,154.7000795157143,353.312123624581,205.84103312242007,287.20622856978827,500.1329971613517,0.1671,0.2565,0.0895,3.075,0.7978,0.2193,0.2025,1.3793,0.0732,0.0054
khanewal,2004,0.157512667,23.1228919,45.47436817,31.40295725,7.724291853,1.511466866,13.75895064,7.347015347,144.7483902,29.47857143,29.44857143,99.35285714,26.25857143,23.2,37.1,9.932857143,3.165714286,534.0,1.097378277,585.8000000000001,371.57777777777767,0.0,375.0664881682876,416.9796397048444,193.47843490048945,272.6449164018202,60.591506269107725,0.1465,0.1946,0.0481,3.2728,0.5312,0.1742,0.1681,1.207,0.0405,0.0016
khushab,2004,0.180026318,24.16960883,26.14041699,49.69026842,7.749656236,1.537564182,12.73418343,7.61938197,79.25069198,29.19857143,31.88428571,99.02428571,30.18714286,22.62285714,36.12857143,9.727142857,8.558571429,179.0,0.703910615,585.7999999999998,371.57777777777767,7.600275444698866,265.4421566558889,167.1725144415163,295.897830660175,35.00979148677206,276.25640301596667,0.1639,0.2288,0.0648,1.0726,0.4997,0.1958,0.193,0.0154,0.0568,0.0032
lahore,2004,0.207728706,23.91523224,25.8205166,50.2644288,8.346927864,1.523060939,12.57633228,7.852002798,81.26379005,29.40857143,36.29571429,98.69,32.81285714,22.36,35.98285714,8.862857143,14.46,134.0,1.067164179,585.8000000000002,371.57777777777767,338.81464598379944,116.34412153753776,37.15424133804237,342.0940905816546,397.469329002105,598.57521352727,0.1722,0.2752,0.103,1.1044,0.6312,0.2312,0.2142,1.031,0.0771,0.006
layyah,2004,0.086787819,22.29196537,36.36847159,41.33956613,6.66423485,1.498386898,14.98093283,7.548995474,80.65577163,29.18285714,30.39428571,99.38,26.85142857,22.7,35.98857143,9.772857143,4.41,449.0,0.942093541,585.8000000000001,371.5777777777778,15.092091120885868,83.43994229676099,643.4937131345968,367.5602341726644,154.07269134859715,723.7863634887032,0.0974,0.2051,0.1077,0.4387,0.5341,0.1576,0.1614,0.2527,0.0778,0.0061
lodhran,2004,0.157072958,23.23360624,45.95257558,30.8139505,7.371388636,1.506242389,13.84318199,7.275304753,132.9219558,29.54571429,26.49714286,99.63571429,25.26,23.46142857,37.27571429,10.25,2.601428571,444.0,1.078828829,585.8000000000001,371.57777777777767,0.0,242.62470090229945,460.7353435959288,265.2706672826946,418.56498575681815,347.5697173989156,0.1375,0.184,0.0465,3.7647,0.5312,0.1649,0.1582,1.3837,0.0402,0.0016
mandi bahauddin,2004,0.230116349,26.10929799,28.96537172,44.92544321,9.670252495,1.518841192,14.35482774,7.602293621,87.04824721,28.89142857,37.02428571,98.41142857,37.57,21.78285714,35.16571429,9.202857143,19.29142857,299.0,1.010033445,585.8,371.5777777777778,231.15829574754048,248.48128342245988,299.83534550299333,378.44318245360665,180.786404922662,428.2936316937997,0.2325,0.3094,0.0768,2.3867,0.7036,0.271,0.2724,0.2482,0.0644,0.0041
mianwali,2004,0.179699819,26.68831913,32.37048602,40.94132529,9.511163446,1.511840409,15.20595543,7.602074387,90.90204148,28.46285714,32.52714286,96.93410713375,32.66428571,20.78714286,34.15857143,7.74,9.201428571,360.0,0.822222222,585.8000000000001,371.5777777777779,260.9645756764941,39.64554191921405,122.7485617482531,0.0,160.13965121615826,283.9300014723217,0.1208,0.1975,0.0767,3.7931,0.7204,0.1679,0.1533,1.3824,0.079,0.0062
multan,2004,0.1323481,22.9283732,45.33794246,31.73357711,6.918145083,1.507161506,13.9218079,7.236992732,122.3688676,29.41857143,28.31142857,99.73,24.53428571,23.52285714,37.26714286,10.31428571,2.778571429,480.0,0.989583333,585.8000000000002,371.5777777777778,0.0,225.73555023714985,409.8645956442196,136.39884823837696,357.73508604800656,411.93,0.1357,0.194,0.0583,1.9069,0.5312,0.1688,0.162,0.9659,0.0495,0.0024
muzaffargarh,2004,0.101489883,22.83340907,42.33163522,34.83483987,6.38012474,1.494055078,14.84178225,7.492060066,82.22149655,29.41857143,28.31142857,99.73,24.53428571,23.52285714,37.26714286,10.31428571,2.778571429,710.0,0.95915493,585.7999999999998,371.5777777777777,572.7814798166653,168.67194992364296,557.1708342026303,247.84688915617068,418.56498575681815,526.9171987847184,0.1252,0.2048,0.0795,1.7359,0.5488,0.1695,0.1609,0.512,0.0706,0.005
nankana sahib,2004,0.198988931,19.97827172,34.01520297,46.00647979,8.701091539,1.518841192,12.43120441,7.720458023,80.10548915,29.34571429,34.65142857,98.80714286,30.85714286,22.53,36.31142857,9.021428571,10.46,454.0,1.112055202,585.8000000000002,371.57777777777767,258.95427286681274,446.7664055938294,83.4756290624728,113.15707336191356,56.04531546435817,244.52796968837623,0.1781,0.2706,0.0925,1.0829,0.6458,0.2294,0.2231,0.7704,0.0652,0.0043
narowal,2004,0.262479275,25.45529094,35.33818921,39.2066029,8.227725798,1.530096339,16.03339229,7.358177714,123.0161334,29.03857143,38.52,98.25571429,35.65142857,22.03571429,34.91857143,9.081428571,21.29714286,324.0,0.925925926,585.8,371.57777777777767,364.1315951625186,248.48128342245988,333.11577674923325,82.37360263347932,259.65943980972827,640.2984938919783,0.205,0.2621,0.0571,2.0649,0.638,0.2368,0.2302,0.864,0.0478,0.0023
okara,2004,0.182907222,21.72739446,37.03793735,41.23467328,8.247179716,1.53423889,13.60017411,7.617680489,85.09235793,29.50714286,29.47,99.11714286,27.56714286,23.02714286,36.74714286,9.491428571,5.512857143,543.0,1.368324125,585.8000000000002,371.5777777777777,142.81726261595247,248.48128342245988,362.4409509921633,341.3886593565812,96.82224646376852,331.7311048416286,0.207,0.2828,0.0757,1.4893,0.5918,0.2501,0.2422,0.9203,0.0628,0.0039
pakpattan,2004,0.169545486,22.75436488,42.98412167,34.26151316,7.85615721,1.488206282,15.38696311,7.458479404,86.47478949,29.50714286,29.47,99.23428571,26.27714286,23.27428571,37.05142857,9.9,3.92,382.0,1.337696335,585.8,371.5777777777777,91.49141102579162,446.7664055938294,839.8176507179244,0.0,418.56498575681815,230.6431268019658,0.1731,0.2493,0.0762,2.7144,0.631,0.2194,0.205,1.3971,0.068,0.0046
rahim yar khan,2004,0.096551425,23.5618907,45.41603829,31.02210557,6.662394545,1.488313127,14.61827705,7.53167932,76.73249437,29.52714286,38.01857936508889,100.0514286,22.71142857,24.49857143,38.08,11.06142857,3.235714286,768.0,1.076822917,585.8,371.5777777777778,243.41491065074683,285.36996158964405,661.4722558132072,635.3321734381334,203.7790065488516,411.93,0.1521,0.2086,0.0565,2.4464,0.5312,0.1842,0.1771,1.1203,0.0461,0.0021
rajanpur,2004,0.114177982,24.06423753,41.39001552,34.54579882,6.459094751,1.487643038,15.59975532,7.708249033,81.59696618,29.19857143,23.05142857,100.0057143,22.52714286,24.22142857,38.32857143,10.87,1.704285714,349.0,0.954154728,585.8000000000002,371.5777777777777,49.27424953610836,446.7664055938294,166.72850141321155,108.97332304336167,126.3274769193218,513.0948837479416,0.1111,0.179,0.0679,1.5524,0.4863,0.1464,0.142,0.3346,0.0547,0.003
rawalpindi,2004,0.1824606910944444,21.43771641,18.54535546,60.01706426,8.916800462,1.519756409,15.57050005,7.0,99.29446296,28.14571429,40.53285714,96.93410713375,37.39142857,19.72428571,32.75,7.654285714,23.75428571,275.0,0.636363636,585.8000000000002,371.5777777777777,315.54037267080747,369.8710255140694,69.84709151902615,308.7175267069459,236.38937155469952,253.61768980147923,0.2167,0.3025,0.0858,1.1124,0.6736,0.2656,0.2573,0.8861,0.065,0.0042
sahiwal,2004,0.177391067,23.34293038,40.87749912,35.77950069,8.067043545,1.512581684,14.54219032,7.520981114,86.83327211,29.50714286,29.47,99.23428571,26.27714286,23.27428571,37.05142857,9.9,3.92,377.0,1.169761273,585.8000000000001,371.57777777777767,0.0,446.7664055938294,743.6600032916502,466.1883807817613,156.27887689874092,687.3683447526652,0.2016,0.2908,0.0892,0.9774,0.5918,0.2534,0.239,1.0005,0.0718,0.0052
sargodha,2004,0.205189485,23.32559565,29.07106301,47.60341272,8.149213029,1.517599389,11.82999451,7.710870947,77.6280688,28.18285714,35.74857143,99.02428571,30.18714286,22.62285714,36.12857143,9.727142857,8.558571429,490.0,1.002040816,585.8000000000001,371.5777777777777,227.3249623647784,446.7664055938294,207.3792231149105,135.73246444751703,171.4289533954703,629.4990754301245,0.1954,0.2683,0.0729,1.3508,0.5751,0.2352,0.2304,0.6371,0.057,0.0032
sheikhupura,2004,0.215027764,25.48146294,27.48142676,47.03731938,8.255936419,1.523007811,13.0947961,8.0,81.47574095,29.34571429,34.65142857,98.80714286,30.85714286,22.53,36.31142857,9.021428571,10.46,740.0,1.104054054,585.8,371.5777777777777,445.9486130970428,188.97313309084407,156.2189732309579,209.28559986365025,225.8327704817375,147.5,0.1714,0.2388,0.0675,3.7815,0.6312,0.2126,0.1992,1.5643,0.061,0.0037
sialkot,2004,0.259062434,27.59647199,34.038009,38.36557989,10.40211128,1.517599389,16.64599154,7.582435763,109.5574369,29.03857143,38.52,98.12142857,36.95285714,21.93142857,34.76428571,9.901428571,23.82428571,480.0,0.96875,585.8000000000001,371.5777777777777,183.32558805782105,61.39334577057812,22.39215357481972,182.6757313943089,172.0171675938558,320.6769207086052,0.2016,0.2594,0.0578,3.8143,0.638,0.2363,0.2271,1.4584,0.0508,0.0026
toba tek singh,2004,0.183837781,22.27534611,32.42238468,45.30211006,7.681504753,1.527867319,14.02611217,7.530742368,84.47723696,29.19857143,31.88428571,99.24857143,27.43857143,22.95285714,36.73142857,9.452857143,4.542857143,374.0,1.147058824,585.8,371.5777777777777,431.8717342483688,439.22537234879775,618.0548127255543,162.98818763231418,418.56498575681815,422.3392494439609,0.1779,0.24,0.062,1.175,0.5546,0.212,0.2071,0.7375,0.0478,0.0023
vehari,2004,0.141571763,23.07735465,46.44989532,30.47280075,7.543312991,1.501395987,14.56667749,7.415776062,127.0529409,29.47857143,29.44857143,99.45285714,25.18714286,23.47428571,37.27285714,10.46,2.297142857,630.0,1.046031746,585.8,371.5777777777778,115.0991720343543,248.48128342245988,768.5517003231805,252.6476347960968,360.47510450250064,556.9643823207138,0.1414,0.1864,0.045,3.6708,0.5014,0.1659,0.1628,0.8805,0.0392,0.0015
attock,2005,0.274508384,23.17901964,19.49466876,57.32633798,8.916800462,1.523007811,16.3738695,7.032652587,99.29446296,28.09285714,48.42428571,96.93410713375,48.11285714,17.99857143,34.432661904944446,8.295714286,18.539399809443083,364.0,0.755494505,585.8000000000002,371.57777777777767,308.6795176032523,446.7664055938294,301.07076390276137,52.21759846081113,0.0,119.74630787667732,0.2077,0.3079,0.1002,0.701,0.6384,0.2636,0.2561,0.7013,0.0721,0.0052
bahawalnagar,2005,0.147749968,22.9042233,45.04427627,32.05161438,7.725205198,1.512642505,13.79395824,7.358470603,139.6220706,29.26714286,37.59428571,99.6,36.33285714,21.56,34.16142857,9.465714286,16.22571429,732.0,1.096994536,585.8,371.5777777777778,544.8631119233411,231.02997001202755,851.6440627935926,589.6866851680552,205.04242319939337,473.60412170664,0.1778,0.2524,0.0746,3.632,0.6865,0.2225,0.2102,1.4691,0.0652,0.0042
bahawalpur,2005,0.080246585,23.33228973,49.83835207,26.82936439,6.956910005,1.489452973,14.91368202,7.415198511,88.68007501,29.34714286,34.61,99.84285714,34.16428571,21.93428571,34.67142857,9.967142857,12.87142857,671.0,1.099850969,585.8000000000001,371.5777777777778,227.76762190947093,446.7664055938294,693.0762983385514,0.0,109.40491449532271,381.3727571561552,0.1277,0.1927,0.065,3.8532,0.627,0.1644,0.1599,1.2054,0.0527,0.0028
bhakkar,2005,0.072724934,22.99418972,34.65893653,42.34668707,7.004199957,1.504818159,15.03399747,7.562328115,84.25889218,29.10714286,38.65857143,99.35857143,38.67857143,20.25,31.98,9.011428571,21.33142857,357.0,0.99719888,585.8,371.5777777777778,340.72614497972694,255.77720046299007,49.16506758383311,82.53201458707858,33.82952357533965,460.3983503733278,0.0913,0.2177,0.1264,-0.5284,0.5426,0.1637,0.1673,0.318,0.0729,0.0053
chakwal,2005,0.240380572,24.95145552,34.04584409,41.00278272,8.916800462,1.518841192,16.23380115,7.27006394,109.6470119,28.13428571,43.28428571,96.93410713375,50.07571429,17.67,34.432661904944446,7.417142857,17.29432342088747,321.0,0.657320872,585.8000000000002,371.57777777777767,315.5403726708075,242.4458098219125,38.258728995020746,244.9533333333334,254.6628932154048,493.106647247108,0.1866,0.2642,0.0776,5.6171,0.7254,0.2327,0.2099,1.6878,0.0714,0.0051
chiniot,2005,0.176179897,21.38071035,29.89557793,48.72370037,7.98566382,1.515365903,11.9200304,7.652336945,80.83532067,29.09428571,40.14,99.17571429,40.23857143,20.48285714,32.72571429,8.967142857,23.79857143,454.0,1.112055202,585.8000000000002,371.57777777777767,543.0563991076893,171.80608595956835,385.1124059003564,426.4998060811074,74.01498153487597,221.6792241892609,0.238,0.3176,0.0795,3.1719,0.697,0.285,0.2754,1.1965,0.0746,0.0056
dera ghazi khan,2005,0.115997725,23.39515004,42.09708534,34.5078131,6.731983444,1.493035367,14.52150244,7.59410394,78.71948246,27.8207142775,36.71428571,98.43142857,32.79714286,21.37142857,34.05,10.67285714,13.57142857,395.0,1.015189873,585.8,371.5777777777777,89.38452003080327,178.46017718872932,102.7788640285514,122.47666666666665,225.36123850252343,271.1832068986594,0.1648,0.2445,0.0797,2.335,0.6194,0.2098,0.1986,0.539,0.0716,0.0051
faisalabad,2005,0.173743726,23.74880918,33.73281683,46.87053341,7.908887425,1.515365903,12.05106161,7.668717385,80.18262089,29.23142857,42.60714286,99.17571429,40.23857143,20.48285714,32.72571429,8.967142857,23.79857143,684.0,1.31871345,585.8000000000002,371.5777777777778,42.63023161373934,367.12713882961737,486.8820171406237,187.78721729792096,345.72155315431803,702.0278887401521,0.24,0.3049,0.0649,3.825,0.6759,0.2769,0.2707,1.2311,0.056,0.0031
gujranwala,2005,0.211775284,27.76819004,29.90469572,42.32715599,9.39715933,1.523060939,15.08010092,7.728752551,87.61308896,28.96285714,46.63,98.87857143,43.52,20.12,32.23285714,8.934285714,29.55857143,558.0,1.275985663,585.8000000000001,371.57777777777767,572.7814798166653,248.48128342245988,277.1122000767437,240.3817965757245,182.6563328161327,641.1947701057292,0.2042,0.2786,0.0744,3.0198,0.6616,0.2453,0.2378,0.8841,0.0589,0.0035
gujrat,2005,0.229702739,26.05328035,32.963105,40.98357489,10.38613988,1.517214506,15.7080344,7.287606163,111.744565,28.96285714,46.63,98.26285714,43.66571429,20.17,31.81714286,9.887142857,36.48,344.0,0.802325581,585.8,371.5777777777779,379.9982234758014,273.95359929028416,122.76719228393634,91.4075814392817,200.08366263176129,188.7743455581022,0.2207,0.2889,0.0682,3.4714,0.6544,0.2598,0.2512,1.0941,0.0557,0.0031
hafizabad,2005,0.210732461,27.38310484,30.33962519,42.27734727,9.299787954,1.523060939,14.67897171,7.724490479,86.4714649,28.88142857,44.34714286,98.87857143,43.52,20.12,32.23285714,8.934285714,29.55857143,332.0,1.123493976,585.8000000000001,371.57777777777767,199.2820197804249,248.48128342245988,292.0878894431407,235.6379683769128,337.5908429325554,723.7863634887032,0.2021,0.2774,0.0753,3.0877,0.6616,0.2434,0.236,0.8537,0.0588,0.0035
jhang,2005,0.159969144,22.7898802,38.69853023,38.51152223,7.684066378,1.521484137,13.99187519,7.453346006,89.22363342,29.09428571,40.14,99.31428571,40.06857143,20.44,32.79285714,8.6,22.64714286,850.125,1.162393162,585.8,371.57777777777767,427.8751716969711,446.7664055938294,360.6370278741383,122.88678448676184,312.0913801641798,353.01358535265314,0.2215,0.3036,0.0821,3.7007,0.7336,0.2705,0.2581,1.4066,0.0742,0.0055
jhelum,2005,0.250760732,25.41279174,37.12843044,37.45862102,8.916800462,1.523060939,17.82760547,7.169056461,112.1385719,28.88142857,44.34714286,96.93410713375,50.07571429,17.67,34.432661904944446,7.417142857,17.29432342088747,121.0,0.826446281,585.8000000000002,371.57777777777767,233.3054013257497,248.48128342245988,112.24974571350825,62.12985057986093,215.8803975123747,202.31118439217275,0.1944,0.2321,0.0377,6.0944,0.6436,0.2177,0.2102,1.7812,0.0366,0.0013
kasur,2005,0.18384167,24.64495377,36.25457295,39.10042908,9.428379014,1.528101478,15.48364319,7.610802111,89.32452179,29.30571429,44.43,98.96714286,40.44,20.82,32.71714286,9.525714286,26.28285714,430.0,1.186046512,585.8,371.57777777777767,417.8421956948192,152.9387642974351,735.9925801771226,402.17956466393633,159.21159411048927,538.6677089045929,0.1749,0.2713,0.0964,2.4244,0.725,0.2305,0.2152,1.2403,0.0774,0.006
khanewal,2005,0.145575117,23.1228919,45.47436817,31.40295725,7.724291853,1.511466866,13.75895064,7.347015347,144.7483902,29.26714286,37.59428571,99.51,37.21285714,21.18857143,33.62142857,9.272857143,18.80142857,541.0,1.249537893,585.7999999999998,371.5777777777777,0.0,28.69021193159961,692.785271911077,635.3321734381334,418.56498575681815,479.31118697421033,0.1704,0.2336,0.0632,4.2294,0.6326,0.2086,0.198,1.5501,0.057,0.0032
khushab,2005,0.162142408,24.16960883,26.14041699,49.69026842,7.749656236,1.537564182,12.73418343,7.61938197,79.25069198,29.09428571,40.14,99.18571429,40.53142857,20.39,32.75428571,8.835714286,24.35,214.0,0.799065421,585.8,371.5777777777779,0.0,446.7664055938294,0.0,208.2597628966219,237.788792632756,390.8045593097196,0.2012,0.2755,0.0743,2.401,0.6769,0.2371,0.2358,-0.1653,0.0695,0.0048
lahore,2005,0.17894951,23.91523224,25.8205166,50.2644288,8.346927864,1.523060939,12.57633228,7.852002798,81.26379005,29.30571429,44.43,98.83571429,42.08428571,20.45857143,32.31142857,9.18,29.46714286,137.0,1.182481752,585.8000000000002,371.5777777777778,241.30214733271143,403.3521762854604,244.26399345078687,501.7373489298979,226.7338706393813,428.7585546142399,0.2005,0.3019,0.1014,1.1275,0.6877,0.2587,0.2428,0.9366,0.0786,0.0062
layyah,2005,0.078784587,22.29196537,36.36847159,41.33956613,6.66423485,1.498386898,14.98093283,7.548995474,80.65577163,29.10714286,38.65857143,99.54285714,37.64,20.66428571,32.22,9.685714286,20.38,445.0,1.146067416,585.8,371.57777777777767,403.1125182975111,446.7664055938294,88.11648427829346,338.73529646584143,221.0005394303789,417.9221130023286,0.1344,0.2459,0.1116,0.2828,0.5686,0.1937,0.2028,-0.0553,0.0835,0.007
lodhran,2005,0.143917189,23.23360624,45.95257558,30.8139505,7.371388636,1.506242389,13.84318199,7.275304753,132.9219558,29.34714286,34.61,99.78857143,36.8,21.46,34.30857143,9.534285714,16.66857143,435.0,1.055172414,585.8000000000001,371.57777777777767,572.7814798166653,147.03649974797483,729.7752584307173,272.2934982660336,243.99733405766875,398.1015325889852,0.1627,0.2272,0.0645,4.2607,0.6625,0.2028,0.1896,1.6525,0.06,0.0036
mandi bahauddin,2005,0.212718713,26.10929799,28.96537172,44.92544321,9.670252495,1.518841192,14.35482774,7.602293621,87.04824721,28.88142857,44.34714286,98.56,45.36285714,19.85142857,31.96857143,9.287142857,34.02,302.0,1.086092715,585.8000000000001,371.5777777777778,199.5853243264729,248.48128342245988,349.4983075854174,259.44863948437444,271.826801316334,427.7365135357704,0.2474,0.3318,0.0845,2.9485,0.7254,0.2913,0.2906,0.4581,0.0716,0.0051
mianwali,2005,0.165521036,26.68831913,32.37048602,40.94132529,9.511163446,1.511840409,15.20595543,7.602074387,90.90204148,28.46285714,41.28857143,96.93410713375,43.95428571,18.40571429,30.43142857,6.511428571,26.24428571,367.0,0.901907357,585.8000000000001,371.57777777777767,258.72816467424445,142.097197848421,207.255992169991,29.37998512506992,10.233400841879302,526.2612644033974,0.1629,0.2483,0.0854,3.6969,0.7584,0.2112,0.2007,0.9863,0.0865,0.0075
multan,2005,0.119905832,22.9283732,45.33794246,31.73357711,6.918145083,1.507161506,13.9218079,7.236992732,122.3688676,29.24142857,35.86285714,99.88142857,36.14285714,21.46571429,34.29,10.03714286,16.19142857,483.0,1.107660455,585.8000000000001,371.5777777777778,291.72910635990706,227.9610740443985,311.09150493384215,71.10806198791397,171.12617404700916,411.9300000000002,0.1682,0.2512,0.083,1.8256,0.6326,0.2157,0.2052,0.933,0.0681,0.0046
muzaffargarh,2005,0.089786282,22.83340907,42.33163522,34.83483987,6.38012474,1.494055078,14.84178225,7.492060066,82.22149655,29.24142857,35.86285714,99.88142857,36.14285714,21.46571429,34.29,10.03714286,16.19142857,731.0,1.058823529,585.8000000000002,371.5777777777777,93.89451343532676,19.657991497216727,545.6914033546069,205.90026409270803,268.3422711402964,723.7863634887032,0.1662,0.2537,0.0875,1.8806,0.6194,0.213,0.2074,0.1934,0.0766,0.0059
nankana sahib,2005,0.176450591,19.97827172,34.01520297,46.00647979,8.701091539,1.518841192,12.43120441,7.720458023,80.10548915,29.23142857,42.60714286,98.95714286,41.32,20.46142857,32.48,9.157142857,27.0,454.0,1.112055202,585.8000000000001,371.5777777777778,273.6353411530003,241.1441040875012,186.578176634996,239.61689795958725,75.0624801298531,317.66960109114666,0.2174,0.3054,0.088,1.2369,0.6665,0.2654,0.2604,0.6255,0.0669,0.0045
narowal,2005,0.234375259,25.45529094,35.33818921,39.2066029,8.227725798,1.530096339,16.03339229,7.358177714,123.0161334,28.96285714,46.63,98.39857143,42.38571429,20.37857143,31.86571429,9.865714286,33.38142857,339.0,1.002949853,585.8000000000002,371.5777777777777,0.0,248.48128342245988,0.0,300.3933303803452,306.4703133855217,88.67532878613895,0.2183,0.2652,0.0469,3.7852,0.6489,0.2459,0.2377,1.2462,0.0431,0.0019
okara,2005,0.162897958,21.72739446,37.03793735,41.23467328,8.247179716,1.53423889,13.60017411,7.617680489,85.09235793,29.31714286,37.61142857,99.27285714,38.46714286,20.94142857,33.11714286,9.35,21.44142857,544.0,1.375,585.8000000000001,371.57777777777767,429.9297168328705,248.48128342245988,202.0037681727203,309.5086728754718,189.18123464554137,382.9779620088864,0.2482,0.3456,0.0973,1.7926,0.7171,0.3074,0.2902,1.1997,0.0878,0.0077
pakpattan,2005,0.153850078,22.75436488,42.98412167,34.26151316,7.85615721,1.488206282,15.38696311,7.458479404,86.47478949,29.31714286,37.61142857,99.38857143,37.45,21.28571429,33.63571429,9.795714286,18.86,381.0,1.349081365,585.7999999999998,371.57777777777767,334.1680382806507,443.6255816004907,851.6440627935926,352.0567513652597,219.0482730456208,309.71854104811223,0.2042,0.3126,0.1084,2.145,0.7474,0.2708,0.2506,1.3281,0.0938,0.0088
rahim yar khan,2005,0.077374528,23.5618907,45.41603829,31.02210557,6.662394545,1.488313127,14.61827705,7.53167932,76.73249437,29.51,29.06714286,100.1757143,28.48857143,23.21571429,35.59857143,11.51714286,4.317142857,773.0,1.112548512,585.8,371.5777777777777,315.7231695027955,361.8995835025625,324.1956934272041,496.3877276887516,267.3409280795397,411.93000000000006,0.1778,0.2524,0.0746,3.632,0.6865,0.2225,0.2102,1.4691,0.0652,0.0042
